feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,out1
1.953309885,1.567072493,0.5586596,0.904134163,0.879925529,0.351483339,2.163358909,2.030668108,0
1.23331712,0.051958591,1.425531896,1.695856617,6.28423281,0.805433178,3.549669757,3.503758733,1
1.74042311,0.935314005,2.175075995,0.01576329,5.259740307,0.752920646,0.167857773,2.989755821,0
0.211371803,1.845195788,2.194364228,1.163559526,1.811322129,0.387665786,0.238453269,1.809040838,0
1.33063561,4.533241134,1.226544078,1.887846934,2.003327389,0.121848749,1.888751267,1.887833177,0
0.162712046,0.895954905,1.975976394,0.391523337,3.537202292,0.239235725,3.401933643,2.585399321,0
0.896591089,0.977694685,1.37396423,1.39253239,4.084948773,0.810431325,4.259607377,3.065904534,1
1.699712506,0.675208757,2.118862202,0.262026808,6.126190813,0.927726335,3.408156012,0.645657582,0
0.841379358,1.984644001,0.8796966,0.630952698,4.081187795,0.784650132,5.178468234,0.478897999,0
1.324649289,4.745014961,0.299773334,1.136638269,3.607391218,0.613330126,4.958647959,3.416506427,1
1.677702554,0.743848474,0.125554964,1.088782294,7.059781991,1.697535379,1.728908129,2.271627857,1
0.700415275,3.201112546,0.698514756,1.173265153,7.337175265,1.111083497,0.599546341,3.224612301,1
0.883767407,1.619120507,1.61091698,1.401940652,6.462429141,1.211239084,1.203712756,1.525451021,0
1.521158734,3.166697507,0.358472842,1.53582836,1.198646617,0.602055792,1.628998768,0.166625856,0
0.977134034,2.954510274,2.330919326,1.795720129,1.827808078,0.440706673,0.296584164,3.635026379,0
1.054659667,4.335568818,1.116029323,0.468040196,4.933519727,1.334360952,5.189984611,2.561783803,1
1.056122235,3.18486345,2.713127799,1.391343661,0.116495875,1.21055799,2.415845394,3.800284223,0
0.893277478,1.761318175,1.727097194,1.955423136,6.709088801,1.111042242,0.82141119,1.035532462,1
1.801700752,4.8737849,0.479444412,0.909041824,7.000513732,0.816819758,4.008023546,1.956765143,1
1.308260043,2.146193438,2.562978092,0.313805148,7.115156495,1.885665348,4.866585064,0.866895287,1
1.81240428,1.23461027,1.107032809,0.370801958,7.6445023,1.84085165,0.8195862,0.628408922,0
1.282376286,2.560426455,0.372603991,0.003627454,1.598473685,0.47757099,4.711676874,3.172997334,0
0.994485353,0.880782706,0.689515083,0.06224473,5.552375156,1.095548641,4.228402738,1.492517618,0
1.90166757,0.357912293,1.432040841,1.613210147,3.90258897,0.657981689,2.848625836,2.132925698,0
0.236645384,2.79160388,2.377276915,0.786180432,4.695024776,0.776110505,0.179573655,0.528449421,0
1.851027752,2.379198665,2.283267798,0.334739059,5.334494423,0.157406638,2.41102364,2.5464471,1
0.6098809,2.983500771,1.523384364,0.056297761,3.662372003,0.504173575,0.457530298,1.952518107,0
0.814056089,4.827835894,0.088409965,0.960126642,7.669590777,1.000029604,5.165919514,0.103604833,1
1.031601273,1.338541481,0.286500665,1.725970977,4.316906556,1.429908407,0.627994765,2.067942306,0
1.419223903,0.677321511,2.269468102,0.478529844,0.022928435,1.857886165,2.17360832,0.660654476,0
1.610011997,2.850076804,0.668207732,1.223304229,1.83638699,0.509290788,4.149814677,0.554391664,0
0.562135624,1.229021885,0.151214763,0.150660821,5.195031249,0.458920331,3.798696748,1.963995973,0
1.532083447,2.625778922,0.876373297,1.858825049,5.67050634,0.534889025,2.918085031,2.54543585,1
1.437446278,3.596940098,1.792729846,0.94116579,4.165420781,1.489055256,0.430480768,1.810442755,0
0.268749395,4.175642816,0.356939306,0.665413497,7.514704794,0.59571951,1.145107026,0.023354843,0
0.629563538,1.211343497,2.126213415,1.742070346,2.804354499,0.587361483,0.325301128,0.818343739,0
0.551995014,4.874602014,1.637416274,1.76511996,1.878877977,0.190181613,0.364250374,2.420239813,0
1.385498537,1.704656769,2.968345155,1.699767602,1.364327614,0.570125813,3.667432772,2.130485252,0
0.924896859,1.815211764,2.568638569,0.647693432,0.662816883,0.427129104,0.093391032,2.12153504,0
1.225856813,4.141190478,1.570652402,1.372255743,5.8176081,1.204643714,3.20993985,2.664924715,1
1.870735491,1.611625324,2.202679208,0.323503813,3.538191031,1.044710031,4.166220109,3.343589852,1
0.063030672,4.654208617,1.210952821,1.515857039,0.526571823,1.258398709,4.739179964,0.446324957,0
0.053704463,2.316656952,1.499368199,0.710490717,7.841126154,1.872596944,1.320471938,0.563280337,1
0.103835152,0.652686906,2.802848422,1.861413576,0.890974959,1.800933414,1.523773244,1.474879492,0
1.227234991,4.193017365,0.742951228,1.946688983,0.278514426,1.96394955,1.551779323,1.592338658,0
1.819430276,2.906242282,2.864717336,0.995206258,3.568308932,1.785865159,3.00733908,0.638242161,1
0.130321452,4.329685385,0.758775618,1.587658693,7.633096991,0.122707104,0.142536669,2.294686057,1
0.268878991,2.201256176,1.364177277,1.543317388,1.189565399,1.829161387,0.927400248,1.492500209,0
0.39726998,3.789807581,1.953002716,1.279067368,2.064150402,0.346080329,2.023993733,2.72572868,0
1.884083467,3.468825213,1.359806722,1.397957475,0.768503261,1.12991455,5.045869239,2.066564012,1
1.928331404,4.980362573,1.372236239,1.107332593,2.293161777,1.53628116,2.316463415,2.185328473,1
1.98986488,4.03215679,0.447513679,0.202856336,5.485597656,1.865348018,4.094280995,1.919856943,1
1.336107314,0.30012227,1.77961695,0.697554043,4.983319608,0.073580993,0.043074233,0.182603295,0
0.743523484,3.407013241,0.631109029,0.381577369,2.060216683,0.829725884,0.753262652,0.952491639,0
0.010940732,1.637316368,2.137579465,1.025914371,5.074678628,0.39627011,2.275477206,0.293252669,0
0.941946627,1.729596963,1.482158043,1.850136309,5.009549306,1.921020799,5.148076124,2.206962573,1
1.446474087,4.032297792,0.934673418,1.69813584,2.841956797,1.907808136,0.454476434,0.192919195,0
1.003975312,0.411360299,0.215804887,0.638147714,0.99465616,1.265402543,2.50572451,2.418072278,0
1.253847756,0.299560767,1.049611192,0.964126517,7.708311668,0.237736235,5.288871315,1.164246503,1
1.704696908,4.453911639,2.753802205,1.824381073,3.427084978,0.074232986,2.976798727,3.961593776,1
0.486768483,0.218528976,0.629909353,1.802385445,0.8290948,0.752764452,5.220413645,1.3763086,0
1.009556837,1.253370894,0.328045302,1.803762893,5.873465309,0.046230993,3.061925951,3.540044388,1
0.219424021,1.413591149,2.776634564,0.012377977,1.00168201,0.235268971,3.676149981,1.650200904,0
1.876570567,0.203648259,1.515105314,0.366250129,2.586569132,0.015125565,3.464820932,0.73619602,0
0.820489984,3.094063902,2.18920213,0.143414883,1.521722052,0.306477561,5.626594037,0.472337238,0
0.346486337,4.822850216,1.699028333,0.710449127,2.568870203,0.811568148,5.834407864,0.165194556,1
1.007496653,2.21665589,0.053729,1.676088354,0.820511433,1.379362105,1.357105013,1.011593102,0
1.701488835,0.142022064,1.049843099,0.112711155,6.574709447,0.60931605,5.042388991,0.877770525,1
1.082446352,3.725628815,2.839804018,0.230716661,5.913597242,0.043176373,3.429875638,1.756258743,1
0.504861516,2.048559298,2.436610267,0.234461339,1.470358532,0.228847541,0.865270624,1.433319185,0
1.762530312,1.697067465,0.717008681,1.685791363,5.786442137,0.460731724,1.093445412,1.977188909,0
0.088108209,1.227170248,0.965676472,0.649234086,7.161821077,0.950476927,1.153249591,2.521987325,0
0.987956275,3.610062915,0.39960037,1.278373036,5.132785746,0.919026507,1.497776502,2.893714537,1
0.029677395,3.819587551,1.11544888,0.65349764,1.650856666,0.286958621,1.58876609,2.546674654,0
1.931840047,0.12277008,2.756739095,1.147353061,2.199232885,1.237032799,5.442362715,2.644035898,1
0.150254479,0.617379955,2.701123311,0.072784387,5.287755287,1.336681292,2.807877801,3.870842801,1
0.644353019,4.521559984,1.411678937,1.788415453,5.209098122,1.920660778,2.715010737,0.321398781,1
0.072567251,2.109880859,2.250866986,1.935742341,6.129523452,0.293652432,1.199678706,3.114751193,1
0.966250036,1.546423013,2.940722517,1.727791763,5.411047433,1.690623942,3.698600325,3.311120473,1
0.811251082,1.471943157,2.997931789,1.504708999,6.135737371,1.829966336,1.164894928,2.854953899,1
1.536829707,4.426720272,0.90222616,1.720044754,4.735595506,1.29951635,0.963468997,3.946477543,1
1.239878943,2.665927189,0.680590405,1.227290002,6.404803868,0.922809378,4.037509816,1.014796325,1
1.952871687,3.359823907,0.545726699,0.958005389,2.093460613,0.482014623,4.233794594,2.886775142,1
0.697340466,4.89432631,2.145325361,1.129706659,6.535161278,0.671885111,2.207059139,2.600118056,1
0.117579707,0.280998343,2.431370684,0.793620942,2.947420837,1.756650505,1.30189343,1.643723056,0
